#ID = reference ID
#GeneID = EntrezGene ID
#REFSEQ = RefSeq ID
#GB_ACC = GenBank accession number
#Symbol = Gene symbol
#Description = Description
#OMIM = OMIM ID
#chromosome = chromosome number
#map.location = location on the chromosome
ID	GeneID	REFSEQ	GB_ACC	Symbol	Description	OMIM	chromosome	map.location
DAP1_2791	79623	NM_024572 ; NP_078848	NM_024572	GALNT14	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14 (GalNAc-T14)	608225	2	2p23.1
DAP1_2794	2938	NM_145740 ; NP_665683	NM_145740	GSTA1	glutathione S-transferase A1	138359	6	6p12.1
DAP1_2795	1780	NM_004411 ; NP_004402	NM_004411	DYNC1I1	dynein, cytoplasmic 1, intermediate chain 1	603772	7	7q21.3-q22.1
DAP1_2797	27004	NM_012468 ; NP_036600 ; NM_014418 ; NP_055233 ; NM_020550 ; NP_065575 ; NM_020552 ; NP_065577 ; NM_020553 ; NP_065578 ; NM_020554 ; NP_065579	NM_012468	TCL6	T-cell leukemia/lymphoma 6	604412	14	14q32.1
DAP1_2798	5664	NM_000447 ; NP_000438 ; NM_012486 ; NP_036618	NM_000447	PSEN2	presenilin 2 (Alzheimer disease 4)	600759 ; 606889	1	1q31-q42
DAP1_2799	8473	NM_181672 ; NP_858058 ; NM_181673 ; NP_858059	NM_181672	OGT	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)	300255	X	Xq13
DAP1_2802	4099	NM_002361 ; NP_002352 ; NM_080600 ; NP_542167	NM_002361	MAG	myelin associated glycoprotein	159460	19	19q13.1
DAP1_2803	5987	NM_030950 ; NP_112212 ; NM_006510 ; NP_006501	NM_030950	TRIM27	tripartite motif-containing 27	602165	6	6p22
DAP1_2804	23650	NM_012101 ; NP_036233	NM_012101	TRIM29	tripartite motif-containing 29	610658	11	11q22-q23
DAP1_2807	7869	NM_001005914 ; NP_001005914 ; NM_004636 ; NP_004627	NM_001005914	SEMA3B	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	601281	3	3p21.3
DAP1_2808	9098	XM_001134439 ; XP_001134439 ; XM_001134459 ; XP_001134459 ; NM_004505 ; NP_004496	XM_001134439	USP6	ubiquitin specific peptidase 6 (Tre-2 oncogene)	604334	17	17p13
DAP1_2810	22854	NM_014917 ; NP_055732	NM_014917	NTNG1	netrin G1	608818	1	1p13.3
DAP1_2811	9319	NM_004237 ; NP_004228	NM_004237	TRIP13	thyroid hormone receptor interactor 13	604507	5	5p15.33
DAP1_2813	8717	NM_153425 ; NP_700474 ; NM_003789 ; NP_003780	NM_153425	TRADD	TNFRSF1A-associated via death domain	603500	16	16q22
DAP1_2816	9805	NM_014766 ; NP_055581	NM_014766	SCRN1	secernin 1	NA	7	7p14.3-p14.1
DAP1_2818	5695	NM_002799 ; NP_002790	NM_002799	PSMB7	proteasome (prosome, macropain) subunit, beta type, 7	604030	9	9q34.11-q34.12
DAP1_2820	5979	NM_020630 ; NP_065681 ; NM_020975 ; NP_066124	NM_020630	RET	ret proto-oncogene	142623 ; 155240 ; 162300 ; 164761 ; 171300 ; 171400 ; 209880	10	10q11.2
DAP1_2822	8943	NM_001077523 ; NP_001070991 ; NM_003938 ; NP_003929	NM_001077523	AP3D1	adaptor-related protein complex 3, delta 1 subunit	607246	19	19p13.3
DAP1_2827	5196	NM_002619 ; NP_002610	NM_002619	PF4	platelet factor 4 (chemokine (C-X-C motif) ligand 4)	173460	4	4q12-q21
DAP1_2828	4660	NM_002481 ; NP_002472 ; NM_032103 ; NP_115286 ; NM_032104 ; NP_115287 ; NM_032105 ; NP_115288	NM_002481	PPP1R12B	protein phosphatase 1, regulatory (inhibitor) subunit 12B	603768	1	1q32.1
DAP1_2829	6424	NM_003014 ; NP_003005	NM_003014	SFRP4	secreted frizzled-related protein 4	606570	7	7p14.1
DAP1_2831	9145	NM_004711 ; NP_004702 ; NM_145731 ; NP_663783 ; NM_145738 ; NP_663791	NM_004711	SYNGR1	synaptogyrin 1	603925	22	22q13.1
DAP1_2833	6768	NM_021978 ; NP_068813	NM_021978	ST14	suppression of tumorigenicity 14 (colon carcinoma)	606797 ; 610765	11	11q24-q25
DAP1_2834	8851	NM_003885 ; NP_003876	NM_003885	CDK5R1	cyclin-dependent kinase 5, regulatory subunit 1 (p35)	603460	17	17q11.2
DAP1_2838	9391	NM_004804 ; NP_004795	NM_004804	CIAO1	cytosolic iron-sulfur protein assembly 1 homolog (S. cerevisiae)	604333	2	2q11.2
DAP1_2840	25949	; NM_015484 ; NP_056299 ; NM_207170 ; NP_997053	NM_015484	SYF2	SYF2 homolog, RNA splicing factor (S. cerevisiae)	607090	1	1p36.11
DAP1_2843	3661	NM_001571 ; NP_001562	NM_001571	IRF3	interferon regulatory factor 3	603734	19	19q13.3-q13.4
DAP1_2853	9374	NM_005155 ; NP_005146 ; NM_138717 ; NP_619731	NM_005155	PPT2	palmitoyl-protein thioesterase 2	603298	6	6p21.3
DAP1_2854	9806	NM_014767 ; NP_055582	NM_014767	SPOCK2	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2	607988	10	10pter-q25.3
DAP1_2856	64780	NM_022765 ; NP_073602	NM_022765	MICAL1	microtubule associated monoxygenase, calponin and LIM domain containing 1	607129	6	6q21
DAP1_2857	247	NM_001039130 ; NP_001034219 ; NM_001039131 ; NP_001034220 ; NM_001141 ; NP_001132	NM_001039130	ALOX15B	arachidonate 15-lipoxygenase, type B	603697	17	17p13.1
DAP1_2861	8294	; NM_003495 ; NP_003486	NM_003495	HIST1H4I	histone cluster 1, H4i	602833	6	6p21.33
DAP1_2862	5527	NM_002719 ; NP_002710 ; NM_178586 ; NP_848701 ; NM_178587 ; NP_848702 ; NM_178588 ; NP_848703	NM_002719	PPP2R5C	protein phosphatase 2, regulatory subunit B', gamma isoform	601645	14	14q32
DAP1_2863	7681	NM_005664 ; NP_005655	NM_005664	MKRN3	makorin, ring finger protein, 3	603856	15	15q11-q13
DAP1_2867	5330	NM_004573 ; NP_004564	NM_004573	PLCB2	phospholipase C, beta 2	604114	15	15q15
DAP1_2868	2892	NM_181894 ; NP_871623 ; NM_000828 ; NP_000819 ; NM_007325 ; NP_015564	NM_181894	GRIA3	glutamate receptor, ionotrophic, AMPA 3	305915	X	Xq25-q26
DAP1_2871	3605	NM_002190 ; NP_002181	NM_002190	IL17A	interleukin 17A	603149	6	6p12
DAP1_2879	6506	NM_004171 ; NP_004162	NM_004171	SLC1A2	solute carrier family 1 (glial high affinity glutamate transporter), member 2	600300	11	11p13-p12
DAP1_2882	599	NM_004050 ; NP_004041	NM_004050	BCL2L2	BCL2-like 2	601931	14	14q11.2-q12
DAP1_2883	5532	NM_021132 ; NP_066955	NM_021132	PPP3CB	protein phosphatase 3 (formerly 2B), catalytic subunit, beta isoform	114106	10	10q21-q22
DAP1_2885	1718	NM_014762 ; NP_055577	NM_014762	DHCR24	24-dehydrocholesterol reductase	602398 ; 606418	1	1p33-p31.1
DAP1_2890	4283	NM_002416 ; NP_002407	NM_002416	CXCL9	chemokine (C-X-C motif) ligand 9	601704	4	4q21
DAP1_2892	26040	NM_015559 ; NP_056374	NM_015559	SETBP1	SET binding protein 1	NA	18	18q21.1
DAP1_2893	3651	NM_000209 ; NP_000200	NM_000209	PDX1	pancreatic and duodenal homeobox 1	125853 ; 260370 ; 600733	13	13q12.1
DAP1_2895	5020	NM_000915 ; NP_000906	NM_000915	OXT	oxytocin, prepro- (neurophysin I)	167050	20	20p13
DAP1_2896	4609	XM_001129520 ; XP_001129520 ; NM_002467 ; NP_002458	XM_001129520	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	113970 ; 190080	8	8q24.21
DAP1_2898	10370	NM_006079 ; NP_006070	NM_006079	CITED2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	602937	6	6q23.3
DAP1_2901	10654	NM_006556 ; NP_006547	NM_006556	PMVK	phosphomevalonate kinase	607622	1	1q22
DAP1_2902	5921	NM_002890 ; NP_002881 ; NM_022650 ; NP_072179	NM_002890	RASA1	RAS p21 protein activator (GTPase activating protein) 1	139150 ; 608354 ; 608355	5	5q13.3
DAP1_2903	7741	NM_001023560 ; NP_001018854 ; NM_007151 ; NP_009082 ; NM_152736 ; NP_689949	NM_001023560	ZNF187	zinc finger protein 187	NA	6	6p21.31
DAP1_2906	1464	NM_001897 ; NP_001888	NM_001897	CSPG4	chondroitin sulfate proteoglycan 4	601172	15	15q24.2
DAP1_2907	1398	NM_005206 ; NP_005197 ; NM_016823 ; NP_058431	NM_005206	CRK	v-crk sarcoma virus CT10 oncogene homolog (avian)	164762	17	17p13.3
DAP1_2910	678	NM_006887 ; NP_008818	NM_006887	ZFP36L2	zinc finger protein 36, C3H type-like 2	NA	2	2p22.3-p21
DAP1_2913	1947	NM_004429 ; NP_004420	NM_004429	EFNB1	ephrin-B1	300035 ; 304110	X	Xq12
DAP1_2915	5033	NM_000917 ; NP_000908 ; NM_001017962 ; NP_001017962	NM_000917	P4HA1	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide I	176710	10	10q21.3-q23.1
DAP1_2916	5409	NM_002686 ; NP_002677	NM_002686	PNMT	phenylethanolamine N-methyltransferase	171190	17	17q21-q22
DAP1_2926	5467	NM_006238 ; NP_006229	NM_006238	PPARD	peroxisome proliferator-activated receptor delta	600409	6	6p21.2-p21.1
DAP1_2927	65108	NM_023009 ; NP_075385	NM_023009	MARCKSL1	MARCKS-like 1	602940	1	1p35.1
DAP1_2930	7498	NM_000379 ; NP_000370	NM_000379	XDH	xanthine dehydrogenase	278300 ; 607633	2	2p23.1
DAP1_2932	1045	NM_001265 ; NP_001256	NM_001265	CDX2	caudal type homeobox transcription factor 2	600297	13	13q12.3
DAP1_2934	7337	; NM_000462 ; NP_000453 ; NM_130838 ; NP_570853 ; NM_130839 ; NP_570854	NM_000462	UBE3A	ubiquitin protein ligase E3A (human papilloma virus E6-associated protein, Angelman syndrome)	105830 ; 601623	15	15q11-q13
DAP1_2939	4288	NM_002417 ; NP_002408	NM_002417	MKI67	antigen identified by monoclonal antibody Ki-67	176741	10	10q25-qter
DAP1_2941	3964	NM_006499 ; NP_006490 ; NM_201543 ; NP_963837 ; NM_201544 ; NP_963838 ; NM_201545 ; NP_963839	NM_006499	LGALS8	lectin, galactoside-binding, soluble, 8 (galectin 8)	606099	1	1q42-q43
DAP1_2943	2998	NM_021957 ; NP_068776	NM_021957	GYS2	glycogen synthase 2 (liver)	138571 ; 240600	12	12p12.2
DAP1_2951	4221	NM_000244 ; NP_000235 ; NM_130799 ; NP_570711 ; NM_130800 ; NP_570712 ; NM_130801 ; NP_570713 ; NM_130802 ; NP_570714 ; NM_130803 ; NP_570715 ; NM_130804 ; NP_570716	NM_000244	MEN1	multiple endocrine neoplasia I	131100 ; 145000	11	11q13
DAP1_2952	3028	NM_001037811 ; NP_001032900 ; NM_004493 ; NP_004484	NM_001037811	HSD17B10	hydroxysteroid (17-beta) dehydrogenase 10	300256 ; 300438	X	Xp11.2
DAP1_2954	4950	XM_001128133 ; XP_001128133 ; NM_002538 ; NP_002529	XM_001128133	OCLN	occludin	602876	5	5q13.1
DAP1_2960	23180	NM_015150 ; NP_055965	NM_015150	RFTN1	raftlin, lipid raft linker 1	NA	3	3p24.3
DAP1_2962	1974	NM_001967 ; NP_001958	NM_001967	EIF4A2	eukaryotic translation initiation factor 4A, isoform 2	601102	3	3q28
DAP1_2964	2193	NM_004461 ; NP_004452	NM_004461	FARSA	phenylalanyl-tRNA synthetase, alpha subunit	602918	19	19p13.2
DAP1_2966	53	NM_001610 ; NP_001601	NM_001610	ACP2	acid phosphatase 2, lysosomal	171650	11	11p11.2-p11.11 ; 11p12-p11
DAP1_2968	7508	NM_004628 ; NP_004619	NM_004628	XPC	xeroderma pigmentosum, complementation group C	278720	3	3p25
DAP1_2976	6564	NM_005073 ; NP_005064	NM_005073	SLC15A1	solute carrier family 15 (oligopeptide transporter), member 1	600544	13	13q33-q34
DAP1_2983	7345	NM_004181 ; NP_004172	NM_004181	UCHL1	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)	168600 ; 191342	4	4p14
DAP1_2985	6580	NM_003057 ; NP_003048 ; NM_153187 ; NP_694857	NM_003057	SLC22A1	solute carrier family 22 (organic cation transporter), member 1	602607	6	6q26
DAP1_2986	5887	NM_002874 ; NP_002865	NM_002874	RAD23B	RAD23 homolog B (S. cerevisiae)	600062	9	9q31.2
DAP1_2988	1579	NM_000778 ; NP_000769	NM_000778	CYP4A11	cytochrome P450, family 4, subfamily A, polypeptide 11	601310	1	1p33
DAP1_2989	1603	NM_001344 ; NP_001335	NM_001344	DAD1	defender against cell death 1	600243	14	14q11-q12
DAP1_2990	7307	NM_001025203 ; NP_001020374 ; NM_001025204 ; NP_001020375 ; NM_006758 ; NP_006749	NM_001025203	U2AF1	U2 small nuclear RNA auxiliary factor 1	191317	21	21q22.3
DAP1_2991	1723	NM_001025193 ; NP_001020364 ; NM_001361 ; NP_001352	NM_001025193	DHODH	dihydroorotate dehydrogenase	126064	16	16q22
DAP1_2994	1356	NM_000096 ; NP_000087	NM_000096	CP	ceruloplasmin (ferroxidase)	117700 ; 604290	3	3q23-q25
DAP1_2995	669	NM_001724 ; NP_001715 ; NM_199186 ; NP_954655	NM_001724	BPGM	2,3-bisphosphoglycerate mutase	222800	7	7q31-q34
DAP1_2999	6886	NM_003189 ; NP_003180	NM_003189	TAL1	T-cell acute lymphocytic leukemia 1	187040	1	1p32
DAP1_3001	9100	NM_005153 ; NP_005144	NM_005153	USP10	ubiquitin specific peptidase 10	609818	16	16q24.1
DAP1_3002	6524	NM_003041 ; NP_003032	NM_003041	SLC5A2	solute carrier family 5 (sodium/glucose cotransporter), member 2	182381 ; 233100	16	16p12-p11
DAP1_3007	3897	NM_000425 ; NP_000416 ; NM_024003 ; NP_076493	NM_000425	L1CAM	L1 cell adhesion molecule	142623 ; 303350 ; 304100 ; 307000 ; 308840	X	Xq28
DAP1_3011	1992	NM_030666 ; NP_109591	NM_030666	SERPINB1	serpin peptidase inhibitor, clade B (ovalbumin), member 1	130135	6	6p25
DAP1_3014	4624	NM_002471 ; NP_002462	NM_002471	MYH6	myosin, heavy chain 6, cardiac muscle, alpha (cardiomyopathy, hypertrophic 1)	160710 ; 192600	14	14q12
DAP1_3019	27074	NM_014398 ; NP_055213	NM_014398	LAMP3	lysosomal-associated membrane protein 3	605883	3	3q26.3-q27
DAP1_3022	7174	NM_003291 ; NP_003282	NM_003291	TPP2	tripeptidyl peptidase II	190470	13	13q32-q33
DAP1_3027	3638	NM_005542 ; NP_005533 ; NM_198336 ; NP_938150 ; NM_198337 ; NP_938151	NM_005542	INSIG1	insulin induced gene 1	602055	7	7q36
DAP1_3028	2052	NM_000120 ; NP_000111	NM_000120	EPHX1	epoxide hydrolase 1, microsomal (xenobiotic)	132810 ; 189800	1	1q42.1
DAP1_3030	28232	XM_001132454 ; XP_001132454 ; XM_001132480 ; XP_001132480 ; NM_013272 ; NP_037404	XM_001132454	SLCO3A1	solute carrier organic anion transporter family, member 3A1	NA	15	15q26
DAP1_3031	2981	NM_007102 ; NP_009033	NM_007102	GUCA2B	guanylate cyclase activator 2B (uroguanylin)	601271	1	1p34-p33
DAP1_3038	7182	NM_003298 ; NP_003289	NM_003298	NR2C2	nuclear receptor subfamily 2, group C, member 2	601426	3	3p25
DAP1_3039	2120	NM_001987 ; NP_001978	NM_001987	ETV6	ets variant gene 6 (TEL oncogene)	131440 ; 600618 ; 601626	12	12p13
DAP1_3041	6280	NM_002965 ; NP_002956	NM_002965	S100A9	S100 calcium binding protein A9	123886	1	1q21
DAP1_3042	22949	NM_012212 ; NP_036344	NM_012212	LTB4DH	leukotriene B4 12-hydroxydehydrogenase	601274	9	9q31.3
DAP1_3043	7594	NM_003423 ; NP_003414	NM_003423	ZNF43	zinc finger protein 43	603972	19	19p13.1-p12
DAP1_3045	3726	NM_002229 ; NP_002220	NM_002229	JUNB	jun B proto-oncogene	165161	19	19p13.2
DAP1_3049	8638	NM_003733 ; NP_003724 ; NM_198213 ; NP_937856	NM_003733	OASL	2'-5'-oligoadenylate synthetase-like	603281	12	12q24.2
DAP1_3050	3827	NM_000893 ; NP_000884	NM_000893	KNG1	kininogen 1	228960	3	3q27
DAP1_3051	551	NM_000490 ; NP_000481	NM_000490	AVP	arginine vasopressin (neurophysin II, antidiuretic hormone, diabetes insipidus, neurohypophyseal)	125700 ; 192340	20	20p13
DAP1_3055	229	NM_000035 ; NP_000026	NM_000035	ALDOB	aldolase B, fructose-bisphosphate	229600	9	9q21.3-q22.2
DAP1_3056	987	NM_006726 ; NP_006717	NM_006726	LRBA	LPS-responsive vesicle trafficking, beach and anchor containing	606453	4	4q31.3
DAP1_3057	6915	NM_001060 ; NP_001051 ; NM_201636 ; NP_963998	NM_001060	TBXA2R	thromboxane A2 receptor	188070	19	19p13.3
DAP1_3060	955	NM_001247 ; NP_001238	NM_001247	ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6 (putative function)	603160	20	20p11.2-p11.22
DAP1_3063	23705	NM_014333 ; NP_055148	NM_014333	CADM1	cell adhesion molecule 1	605686	11	11q23.2
DAP1_3066	8634	NM_003729 ; NP_003720	NM_003729	RTCD1	RNA terminal phosphate cyclase domain 1	NA	1	1p21.2
DAP1_3069	10497	NM_006377 ; NP_006368	NM_006377	UNC13B	unc-13 homolog B (C. elegans)	605836	9	9p12-p11
DAP1_3072	2219	NM_002003 ; NP_001994	NM_002003	FCN1	ficolin (collagen/fibrinogen domain containing) 1	601252	9	9q34
DAP1_3075	320	NM_001163 ; NP_001154	NM_001163	APBA1	amyloid beta (A4) precursor protein-binding, family A, member 1 (X11)	602414	9	9q13-q21.1
DAP1_3077	5148	NM_002602 ; NP_002593	NM_002602	PDE6G	phosphodiesterase 6G, cGMP-specific, rod, gamma	180073	17	17q25
DAP1_3083	8314	NM_004656 ; NP_004647	NM_004656	BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	603089	3	3p21.31-p21.2
DAP1_3085	10523	NM_006387 ; NP_006378	NM_006387	CHERP	calcium homeostasis endoplasmic reticulum protein	NA	19	19p13.1
DAP1_3087	8301	NM_001008660 ; NP_001008660 ; NM_007166 ; NP_009097	NM_001008660	PICALM	phosphatidylinositol binding clathrin assembly protein	601626 ; 603025	11	11q14
DAP1_3089	3561	NM_000206 ; NP_000197	NM_000206	IL2RG	interleukin 2 receptor, gamma (severe combined immunodeficiency)	300400 ; 308380 ; 312863	X	Xq13.1
DAP1_3091	8763	NM_006016 ; NP_006007	NM_006016	CD164	CD164 molecule, sialomucin	603356	6	6q21
DAP1_3092	3097	NM_006734 ; NP_006725	NM_006734	HIVEP2	human immunodeficiency virus type I enhancer binding protein 2	143054	6	6q23-q24
DAP1_3096	6451	NM_003022 ; NP_003013	NM_003022	SH3BGRL	SH3 domain binding glutamic acid-rich protein like	300190	X	Xq13.3
DAP1_3099	84981	NM_001001870 ; NP_001001870 ; NM_032895 ; NP_116284	NM_001001870	MGC14376	NA	NA	17	17p13.3
DAP1_3101	3297	XM_001126718 ; XP_001126718 ; XM_001127807 ; XP_001127807 ; NM_005526 ; NP_005517	XM_001126718	HSF1	heat shock transcription factor 1	140580	8	8q24.3
DAP1_3103	124	NM_000667 ; NP_000658	NM_000667	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	103700	4	4q21-q23
DAP1_3105	871	NM_001235 ; NP_001226	NM_001235	SERPINH1	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)	600943 ; 610504	11	11q13.5
DAP1_3111	8727	NM_003798 ; NP_003789	NM_003798	CTNNAL1	catenin (cadherin-associated protein), alpha-like 1	604785	9	9q31.2
DAP1_3115	4143	NM_000429 ; NP_000420	NM_000429	MAT1A	methionine adenosyltransferase I, alpha	250850	10	10q22
DAP1_3125	79022	NM_024056 ; NP_076961	NM_024056	TMEM106C	transmembrane protein 106C	NA	12	12q13.1
DAP1_3126	23768	NM_013231 ; NP_037363	NM_013231	FLRT2	fibronectin leucine rich transmembrane protein 2	604807	14	14q24-q32
DAP1_3132	114876	NM_018030 ; NP_060500 ; NM_080597 ; NP_542164 ; NM_133268 ; NP_579802	NM_018030	OSBPL1A	oxysterol binding protein-like 1A	606730	18	18q11.1
DAP1_3136	3292	NM_000413 ; NP_000404	NM_000413	HSD17B1	hydroxysteroid (17-beta) dehydrogenase 1	109684	17	17q11-q21
DAP1_3141	27316	NM_002139 ; NP_002130	NM_002139	RBMX	RNA binding motif protein, X-linked	300199	X	Xq26.3
DAP1_3144	5787	NM_002837 ; NP_002828	NM_002837	PTPRB	protein tyrosine phosphatase, receptor type, B	176882	12	12q15-q21
DAP1_3145	5257	NM_000293 ; NP_000284 ; NM_001031835 ; NP_001027005	NM_000293	PHKB	phosphorylase kinase, beta	172490 ; 261750	16	16q12-q13
DAP1_3150	22909	NM_014967 ; NP_055782	NM_014967	MTMR15	myotubularin related protein 15	NA	15	15q13.2-q13.3
DAP1_3153	6518	NM_003039 ; NP_003030	NM_003039	SLC2A5	solute carrier family 2 (facilitated glucose/fructose transporter), member 5	138230	1	1p36.2
DAP1_3155	3836	NM_002264 ; NP_002255	NM_002264	KPNA1	karyopherin alpha 1 (importin alpha 5)	600686	3	3q21
DAP1_3156	1890	NM_001953 ; NP_001944	NM_001953	ECGF1	endothelial cell growth factor 1 (platelet-derived)	131222 ; 603041	22	22q13 ; 22q13.33
DAP1_3157	4628	NM_005964 ; NP_005955	NM_005964	MYH10	myosin, heavy chain 10, non-muscle	160776	17	17p13
DAP1_3158	2533	NM_001465 ; NP_001456 ; NM_199335 ; NP_955367	NM_001465	FYB	FYN binding protein (FYB-120/130)	602731	5	5p13.1
DAP1_3160	5971	NM_006509 ; NP_006500	NM_006509	RELB	v-rel reticuloendotheliosis viral oncogene homolog B, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3 (avian)	604758	19	19q13.32
DAP1_3171	6546	NM_021097 ; NP_066920	NM_021097	SLC8A1	solute carrier family 8 (sodium/calcium exchanger), member 1	182305	2	2p23-p22
DAP1_3183	5054	NM_000602 ; NP_000593	NM_000602	SERPINE1	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	173360	7	7q21.3-q22
DAP1_3191	25825	NM_012105 ; NP_036237 ; NM_138991 ; NP_620476 ; NM_138992 ; NP_620477	NM_012105	BACE2	beta-site APP-cleaving enzyme 2	605668	21	21q22.3
DAP1_3207	2245	NM_004463 ; NP_004454	NM_004463	FGD1	FYVE, RhoGEF and PH domain containing 1 (faciogenital dysplasia)	300546 ; 305400	X	Xp11.21
DAP1_3222	5116	NM_006031 ; NP_006022	NM_006031	PCNT	pericentrin (kendrin)	605925	21	21q22.3
DAP1_3237	3418	NM_002168 ; NP_002159	NM_002168	IDH2	isocitrate dehydrogenase 2 (NADP+), mitochondrial	147650	15	15q26.1
DAP1_3239	10479	NM_001042537 ; NP_001036002 ; NM_006359 ; NP_006350	NM_001042537	SLC9A6	solute carrier family 9 (sodium/hydrogen exchanger), member 6	300231	X	Xq26.3
DAP1_3245	57147	NM_020423 ; NP_065156 ; NM_181093 ; NP_851607	NM_020423	SCYL3	SCY1-like 3 (S. cerevisiae)	608192	1	1q24.2
DAP1_3253	701	NM_001211 ; NP_001202	NM_001211	BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	114500 ; 602860	15	15q15
DAP1_3262	6415	NM_003009 ; NP_003000	NM_003009	SEPW1	selenoprotein W, 1	603235	19	19q13.3
DAP1_3279	1267	NM_033133 ; NP_149124	NM_033133	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase	123830	17	17q21
DAP1_3280	9524	XM_001132190 ; XP_001132190 ; XM_001132196 ; XP_001132196 ; NM_138501 ; NP_612510	XM_001132190	GPSN2	glycoprotein, synaptic 2	610057	19	19p13.12
DAP1_3283	9929	NM_014876 ; NP_055691	NM_014876	JOSD1	Josephin domain containing 1	NA	22	22q13.1
DAP1_3284	10437	NM_006332 ; NP_006323	NM_006332	IFI30	interferon, gamma-inducible protein 30	604664	19	19p13.1
DAP1_3285	6773	NM_005419 ; NP_005410	NM_005419	STAT2	signal transducer and activator of transcription 2, 113kDa	600556	12	12q13.2
DAP1_3290	10381	NM_006086 ; NP_006077	NM_006086	TUBB3	tubulin, beta 3	602661	16	16q24.3
DAP1_3293	2593	NM_000156 ; NP_000147 ; NM_138924 ; NP_620279	NM_000156	GAMT	guanidinoacetate N-methyltransferase	601240	19	19p13.3
DAP1_3294	5326	NM_002657 ; NP_002648	NM_002657	PLAGL2	pleiomorphic adenoma gene-like 2	604866	20	20q11.21
DAP1_3295	490	NM_001001323 ; NP_001001323 ; NM_001682 ; NP_001673	NM_001001323	ATP2B1	ATPase, Ca++ transporting, plasma membrane 1	108731	12	12q21.3
DAP1_3299	3021	NM_005324 ; NP_005315	NM_005324	H3F3B	H3 histone, family 3B (H3.3B)	601058	17	17q25
DAP1_3303	4340	NM_001008228 ; NP_001008229 ; NM_001008229 ; NP_001008230 ; NM_002433 ; NP_002424 ; NM_206809 ; NP_996532 ; NM_206810 ; NP_996533 ; NM_206811 ; NP_996534 ; NM_206812 ; NP_996535 ; NM_206813 ; NP_996536 ; NM_206814 ; NP_996537	NM_001008228	MOG	myelin oligodendrocyte glycoprotein	159465	6	6p22.1
DAP1_3305	716	NM_001734 ; NP_001725 ; NM_201442 ; NP_958850	NM_001734	C1S	complement component 1, s subcomponent	120580	12	12p13
DAP1_3314	8799	NM_003846 ; NP_003837	NM_003846	PEX11B	peroxisomal biogenesis factor 11B	603867	1	1q21.1
DAP1_3315	5602	NM_002753 ; NP_002744 ; NM_138980 ; NP_620446 ; NM_138981 ; NP_620447 ; NM_138982 ; NP_620448	NM_002753	MAPK10	mitogen-activated protein kinase 10	602897 ; 606369	4	4q22.1-q23
DAP1_3318	8728	NM_023038 ; NP_075525 ; NM_033274 ; NP_150377	NM_023038	ADAM19	ADAM metallopeptidase domain 19 (meltrin beta)	603640	5	5q32-q33
DAP1_3324	9794	XM_001126853 ; XP_001126853 ; NM_014757 ; NP_055572	XM_001126853	MAML1	mastermind-like 1 (Drosophila)	605424	5	5q35
DAP1_3330	7694	NM_003436 ; NP_003427	NM_003436	ZNF135	zinc finger protein 135	604077	19	19q13.4
DAP1_3338	951	NM_001040031 ; NP_001035120 ; NM_001774 ; NP_001765	NM_001040031	CD37	CD37 molecule	151523	19	19q13.3
DAP1_3340	9743	NM_014715 ; NP_055530	NM_014715	RICS	NA	608541	11	11q24-q25
DAP1_3346	3845	NM_004985 ; NP_004976 ; NM_033360 ; NP_203524	NM_004985	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	109800 ; 114480 ; 115150 ; 137215 ; 190070 ; 211980 ; 260350 ; 609942	12	12p12.1
DAP1_3347	6640	NM_003098 ; NP_003089	NM_003098	SNTA1	syntrophin, alpha 1 (dystrophin-associated protein A1, 59kDa, acidic component)	601017	20	20q11.2
DAP1_3348	4675	NM_004538 ; NP_004529	NM_004538	NAP1L3	nucleosome assembly protein 1-like 3	300117	X	Xq21.3-q22
DAP1_3349	5097	NM_002587 ; NP_002578 ; NM_032420 ; NP_115796	NM_002587	PCDH1	protocadherin 1	603626	5	5q32-q33
DAP1_3354	1347	NM_001865 ; NP_001856	NM_001865	COX7A2	cytochrome c oxidase subunit VIIa polypeptide 2 (liver)	123996	6	6q12
